# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cpu_core/LLC-load-misses/'
# Event count (approx.): 4394940
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                    
# ........  ...............  ..................  ..........................................................................................................................................................
#
     0.13%  C2 CompilerThre  libjvm.so           [.] MachProjNode::bottom_type
     0.13%  java             [unknown]           [k] 0xffffffff86d6415f
     0.12%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::stretch_base_pointer_live_ranges
     0.12%  C2 CompilerThre  libjvm.so           [.] PhaseIterGVN::PhaseIterGVN
     0.12%  C2 CompilerThre  libjvm.so           [.] MachNode::ideal_reg
     0.12%  C2 CompilerThre  libjvm.so           [.] Reflection::verify_class_access
     0.12%  java             [unknown]           [k] 0xffffffff877849f2
     0.12%  java             [unknown]           [k] 0xffffffff86fae3a2
     0.12%  C2 CompilerThre  libjvm.so           [.] PhaseOutput::fill_buffer
     0.12%  C2 CompilerThre  libjvm.so           [.] Node::dominates
     0.12%  java             [unknown]           [k] 0xffffffff86f4cec3
     0.12%  C1 CompilerThre  libjvm.so           [.] Assembler::locate_operand
     0.12%  C2 CompilerThre  libjvm.so           [.] PhaseAggressiveCoalesce::coalesce
     0.12%  C2 CompilerThre  libjvm.so           [.] MachNode::rematerialize
     0.12%  java             libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.11%  GC Thread#2      libjvm.so           [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, oopDesc*>
     0.11%  C2 CompilerThre  libjvm.so           [.] Unique_Node_List::remove_useless_nodes
     0.11%  C2 CompilerThre  libjvm.so           [.] Node::is_block_proj
     0.11%  C1 CompilerThre  [unknown]           [k] 0xffffffff86e95407
     0.11%  C2 CompilerThre  libjvm.so           [.] Node::format
     0.11%  C2 CompilerThre  libjvm.so           [.] ciMethod::load_code
     0.11%  GC Thread#1      [unknown]           [k] 0xffffffff87a00b40
     0.11%  C2 CompilerThre  libjvm.so           [.] PhiNode::out_RegMask
     0.11%  java             [unknown]           [k] 0xffffffff86f71ed0
     0.11%  C2 CompilerThre  ld-2.31.so          [.] __tls_get_addr
     0.10%  C2 CompilerThre  libjvm.so           [.] PhaseOutput::FillExceptionTables
     0.10%  GC Thread#1      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.10%  C2 CompilerThre  libjvm.so           [.] TypeOopPtr::TypeOopPtr
     0.10%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::replace_block_proj_ctrl
     0.10%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::build_loop_early
     0.09%  C2 CompilerThre  libjvm.so           [.] TypeInstPtr::eq
     0.09%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::skip_copies
     0.09%  C2 CompilerThre  libjvm.so           [.] NodeHash::hash_delete
     0.09%  C2 CompilerThre  libc-2.31.so        [.] __memset_avx2_erms
     0.09%  C1 CompilerThre  libjvm.so           [.] LinearScan::calc_operand_for_interval
     0.09%  C2 CompilerThre  libjvm.so           [.] ciInstanceKlass::get_field_by_offset
     0.09%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::init
     0.09%  C2 CompilerThre  libjvm.so           [.] Arena::contains
     0.09%  java             libjvm.so           [.] CodeHeap::find_blob_unsafe
     0.09%  java             ld-2.31.so          [.] update_get_addr
     0.08%  C2 CompilerThre  libjvm.so           [.] TypeNode::bottom_type
     0.08%  C2 CompilerThre  libpthread-2.31.so  [.] __pthread_mutex_lock
     0.08%  java             libjvm.so           [.] CodeHeap::next_used
     0.08%  java             [unknown]           [k] 0xffffffff86c499a3
     0.08%  java             [unknown]           [k] 0xffffffff86ead880
     0.08%  RMI Scheduler(0  libjvm.so           [.] InstanceKlass::find_method_index
     0.08%  java             libjvm.so           [.] InstanceKlass::do_local_static_fields
     0.08%  C2 CompilerThre  libjvm.so           [.] ResourceObj::operator new
     0.08%  C2 CompilerThre  libjvm.so           [.] Matcher::Label_Root
     0.08%  C2 CompilerThre  libjvm.so           [.] ciMethodBlocks::do_analysis
     0.08%  C2 CompilerThre  libjvm.so           [.] TypeInstPtr::hash
     0.08%  C2 CompilerThre  libjvm.so           [.] loadPNode::oper_input_base
     0.08%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::remove_node_if_not_used
     0.08%  C2 CompilerThre  libjvm.so           [.] RegMask::Size
     0.08%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::eliminate_copy_of_constant
     0.08%  GC Thread#10     [unknown]           [k] 0xffffffff86f196d4
     0.08%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::lower_pressure
     0.07%  C2 CompilerThre  libjvm.so           [.] Node::is_dead_loop_safe
     0.07%  C2 CompilerThre  libjvm.so           [.] PhaseLive::add_liveout
     0.07%  C1 CompilerThre  [unknown]           [k] 0xffffffff86f264fc
     0.07%  C2 CompilerThre  libc-2.31.so        [.] _int_malloc
     0.07%  java             [unknown]           [k] 0xffffffffc1734135
     0.07%  C2 CompilerThre  libjvm.so           [.] TypeTuple::hash
     0.07%  C2 CompilerThre  libjvm.so           [.] PhaseIterGVN::add_users_to_worklist
     0.07%  C2 CompilerThre  libjvm.so           [.] LinkResolver::resolve_interface_method
     0.07%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::call_catch_cleanup
     0.07%  C2 CompilerThre  libjvm.so           [.] Node::disconnect_inputs
     0.07%  RMI RenewClean-  [JIT] tid 693964    [.] Interpreter
     0.07%  C1 CompilerThre  libjvm.so           [.] ciObjectFactory::get_metadata
     0.07%  C2 CompilerThre  libjvm.so           [.] jmpDirNode::is_block_proj
     0.07%  C2 CompilerThre  libjvm.so           [.] storePNode::oper_input_base
     0.07%  C2 CompilerThre  [unknown]           [k] 0xffffffff86f195cf
     0.07%  C2 CompilerThre  libjvm.so           [.] PhiNode::Opcode
     0.07%  C1 CompilerThre  [unknown]           [k] 0xffffffff86f0c1f3
     0.07%  C2 CompilerThre  libjvm.so           [.] PhaseLive::add_livein
     0.07%  java             [unknown]           [k] 0xffffffff86f196d1
     0.07%  C2 CompilerThre  libjvm.so           [.] PhaseConservativeCoalesce::update_ifg
     0.07%  C2 CompilerThre  libjvm.so           [.] JVMState::of_depth
     0.07%  C1 CompilerThre  [unknown]           [k] 0xffffffff86d63ea9
     0.07%  C2 CompilerThre  libjvm.so           [.] ciTypeFlow::StateVector::StateVector
     0.07%  java             libjvm.so           [.] SharedRuntime::resolve_sub_helper_internal
     0.07%  java             libjvm.so           [.] memset@plt
     0.07%  C2 CompilerThre  libjvm.so           [.] JVMState::interpreter_frame_size
     0.07%  C2 CompilerThre  [unknown]           [k] 0xffffffff86d122da
     0.07%  java             libjvm.so           [.] Dictionary::find
     0.06%  C1 CompilerThre  [unknown]           [k] 0xffffffff86f263d9
     0.06%  C1 CompilerThre  libjvm.so           [.] NullCheck::visit
     0.06%  C1 CompilerThre  [unknown]           [k] 0xffffffff86ce66d4
     0.06%  C2 CompilerThre  libjvm.so           [.] G1CodeRootSetTable::add
     0.06%  java             libjvm.so           [.] ObjArrayKlass::array_klass
     0.06%  C2 CompilerThre  [unknown]           [k] 0xffffffff87295bf7
     0.06%  C2 CompilerThre  libjvm.so           [.] ConnectionGraph::compute_escape
     0.06%  C2 CompilerThre  libjvm.so           [.] PhaseOutput::Process_OopMap_Node
     0.06%  C2 CompilerThre  libjvm.so           [.] AccessInternal::PostRuntimeDispatch<G1BarrierSet::AccessBarrier<286790ul, G1BarrierSet>, (AccessInternal::BarrierType)3, 286790ul>::oop_access_barrier
     0.06%  java             [JIT] tid 693964    [.] long java.io.ObjectOutputStream$BlockDataOutputStream.getUTFLength(java.lang.String)
     0.06%  C1 CompilerThre  [unknown]           [k] 0xffffffff86dab683
     0.06%  C2 CompilerThre  libjvm.so           [.] PhaseConservativeCoalesce::coalesce
     0.06%  java             [unknown]           [k] 0xffffffff87296295
     0.06%  GC Thread#10     libjvm.so           [.] WeakProcessor::Task::work<G1STWIsAliveClosure, G1KeepAliveClosure>
     0.06%  C1 CompilerThre  [unknown]           [k] 0xffffffff86f50f06
     0.06%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::compute_initial_block_pressure
     0.06%  C2 CompilerThre  libjvm.so           [.] ProjNode::hash
     0.06%  C1 CompilerThre  libjvm.so           [.] LinkResolver::check_method_loader_constraints
     0.06%  C1 CompilerThre  [unknown]           [k] 0xffffffff8785bc0b
     0.06%  java             [unknown]           [k] 0xffffffff86f1964d
     0.06%  java             [unknown]           [k] 0xffffffff86e9865b
     0.06%  C2 CompilerThre  libjvm.so           [.] CompileBroker::collect_statistics
     0.06%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::schedule_early
     0.06%  C1 CompilerThre  libjvm.so           [.] SymbolTable::do_lookup
     0.06%  C2 CompilerThre  libjvm.so           [.] GraphKit::add_safepoint_edges
     0.06%  GC Thread#8      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.06%  java             libjvm.so           [.] ClassFileParser::parse_constant_pool_entries
     0.06%  RMI RenewClean-  libjvm.so           [.] InstanceKlass::find_method_index
     0.06%  C2 CompilerThre  [unknown]           [k] 0xffffffff86e916df
     0.05%  java             [unknown]           [k] 0xffffffffc1736280
     0.05%  java             [unknown]           [k] 0xffffffff86f8bf89
     0.05%  java             [unknown]           [k] 0xffffffff86f8beff
     0.05%  C2 CompilerThre  libjvm.so           [.] TypeNode::hash
     0.05%  C2 CompilerThre  [unknown]           [k] 0xffffffff86ec036a
     0.05%  C2 CompilerThre  [unknown]           [k] 0xffffffff86e9cca6
     0.05%  C2 CompilerThre  libjvm.so           [.] ProjNode::pinned
     0.05%  C2 CompilerThre  libjvm.so           [.] InstanceKlass::package
     0.05%  java             [unknown]           [k] 0xffffffff877849e0
     0.05%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::re_insert
     0.05%  java             [unknown]           [k] 0xffffffff86f4b67f
     0.05%  C2 CompilerThre  libjvm.so           [.] Node::Node
     0.05%  C1 CompilerThre  [unknown]           [k] 0xffffffff86ebe501
     0.05%  C2 CompilerThre  libjvm.so           [.] Node::replace_edge
     0.05%  C2 CompilerThre  libjvm.so           [.] MachCallJavaNode::in_RegMask
     0.05%  C2 CompilerThre  libjvm.so           [.] RegionNode::is_unreachable_from_root
     0.05%  java             [unknown]           [k] 0xffffffff86f195cf
     0.05%  C2 CompilerThre  libjvm.so           [.] ArrayKlass::uncached_lookup_method
     0.05%  GC Thread#5      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.05%  java             [JIT] tid 693964    [.] void java.lang.AbstractStringBuilder.checkRange(int, int, int)
     0.05%  C2 CompilerThre  libjvm.so           [.] ciMethodData::load_data
     0.05%  C2 CompilerThre  libjvm.so           [.] ConNode::hash
     0.05%  GC Thread#10     libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.05%  C1 CompilerThre  [unknown]           [k] 0xffffffff86f16fa3
     0.05%  C2 CompilerThre  libjvm.so           [.] InstanceKlass::find_local_field
     0.05%  C2 CompilerThre  [unknown]           [k] 0xffffffff86f196d1
     0.05%  java             libjvm.so           [.] klassVtable::needs_new_vtable_entry
     0.05%  C1 CompilerThre  libjvm.so           [.] LIR_OpVisitState::all_xhandler
     0.05%  C1 CompilerThre  [unknown]           [k] 0xffffffff86f263e8
     0.05%  C2 CompilerThre  [unknown]           [k] 0xffffffff86f69b80
     0.05%  java             [unknown]           [k] 0xffffffff86eabbe0
     0.05%  java             libjvm.so           [.] SystemDictionary::resolve_instance_class_or_null
     0.05%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::PhaseChaitin
     0.05%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::Dominators
     0.05%  C2 CompilerThre  libjvm.so           [.] State::MachOperGenerator
     0.05%  C2 CompilerThre  libjvm.so           [.] Block::has_uncommon_code
     0.05%  java             [unknown]           [k] 0xffffffff86f4e89b
     0.05%  C2 CompilerThre  [unknown]           [k] 0xffffffff86f69ad7
     0.05%  C2 CompilerThre  libjvm.so           [.] ciTypeFlow::Block::Block
     0.05%  java             libjvm.so           [.] LinkResolver::lookup_method_in_klasses
     0.05%  java             [unknown]           [k] 0xffffffff86e90553
     0.05%  C2 CompilerThre  libjvm.so           [.] Compile::remove_speculative_types
     0.05%  C2 CompilerThre  libjvm.so           [.] jmpDirNode::size_of
