# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 33K of event 'LLC-load-misses'
# Event count (approx.): 22264920
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                                                       
# ........  ...............  ..................  .............................................................................................................................................................................................................................
#
     0.06%  GC Thread#7      [unknown]           [k] 0xffffffffafb195fa
     0.06%  C2 CompilerThre  libjvm.so           [.] ciObjectFactory::get_metadata
     0.06%  G1 Conc#0        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceMirrorKlass, oopDesc*>
     0.05%  G1 Conc#0        libjvm.so           [.] GenericTaskQueue<G1TaskQueueEntry, (MEMFLAGS)5, 131072u>::pop_local
     0.05%  C2 CompilerThre  libjvm.so           [.] vmSymbols::find_sid
     0.05%  java             [JIT] tid 673471    [.] void application.transplant.pimtree.PIMTreeCore.run_batch(application.transplant.pimtree.operation_t, java.util.concurrent.locks.Lock, int)
     0.05%  java             [JIT] tid 673471    [.] java.lang.Object application.transplant.pimtree.PIMExecutorComputationContext.ht_search(application.transplant.pimtree.ht_slot[], long, java.util.function.BiFunction)
     0.05%  java             [unknown]           [k] 0xffffffffafe32827
     0.05%  java             [JIT] tid 673471    [.] slow_subtype_check Runtime1 stub
     0.05%  java             [unknown]           [k] 0xffffffffb036d9f8
     0.05%  java             [JIT] tid 673471    [.] java.lang.String java.io.BufferedReader.readLine(boolean, boolean[])
     0.05%  GC Thread#7      libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.05%  C2 CompilerThre  libjvm.so           [.] PhaseLive::add_liveout
     0.05%  GC Thread#5      libjvm.so           [.] G1ParEvacuateFollowersClosure::do_void
     0.05%  G1 Refine#0      libjvm.so           [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.05%  G1 Service       [unknown]           [k] 0xffffffffafb263d0
     0.04%  C2 CompilerThre  libjvm.so           [.] Type::cmp
     0.04%  java             [JIT] tid 673471    [.] java.util.List java.util.Formatter.parse(java.lang.String)
     0.04%  java             [JIT] tid 673471    [.] boolean application.transplant.pimtree.PIMTreeCore.load_one_batch(java.util.List, int)
     0.04%  java             [unknown]           [k] 0xffffffffb0384c21
     0.04%  GC Thread#5      libjvm.so           [.] WeakProcessor::Task::work<G1STWIsAliveClosure, G1KeepAliveClosure>
     0.04%  C2 CompilerThre  libjvm.so           [.] RegMask::is_misaligned_pair
     0.04%  GC Thread#1      libjvm.so           [.] G1ParCopyClosure<(G1Barrier)1, true>::do_oop
     0.04%  GC Thread#0      libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.04%  G1 Conc#1        libjvm.so           [.] OopOopIterateDispatch<G1RootRegionScanClosure>::Table::oop_oop_iterate<ObjArrayKlass, oopDesc*>
     0.04%  C2 CompilerThre  libjvm.so           [.] PhaseIterGVN::transform_old
     0.04%  java             [JIT] tid 673471    [.] java.lang.Object application.transplant.pimtree.PIMExecutorComputationContext.ht_search(application.transplant.pimtree.ht_slot[], long, java.util.function.BiFunction)
     0.04%  G1 Service       [unknown]           [k] 0xffffffffafb264ff
     0.04%  java             [unknown]           [k] 0xffffffffafb1966d
     0.04%  G1 Conc#1        libjvm.so           [.] ClassLoaderData::oops_do
     0.04%  GC Thread#6      libjvm.so           [.] CompiledMethod::cleanup_inline_caches_impl
     0.04%  G1 Service       [unknown]           [k] 0xffffffffafb263f6
     0.04%  java             [unknown]           [k] 0xffffffffb0384dbe
     0.04%  G1 Conc#0        libjvm.so           [.] ClassLoaderData::oops_do
     0.04%  java             [JIT] tid 673471    [.] void framework.pim.logger.Logger.logln(java.lang.String)
     0.04%  C2 CompilerThre  libjvm.so           [.] OuterStripMinedLoopEndNode::Opcode
     0.04%  java             [unknown]           [k] 0xffffffffafe993fb
     0.03%  java             [unknown]           [k] 0xffffffffc13f72bb
     0.03%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::get_ctrl
     0.03%  java             [JIT] tid 673471    [.] java.lang.String java.io.BufferedReader.readLine()
     0.03%  C1 CompilerThre  libjvm.so           [.] BlockListBuilder::set_leaders
     0.03%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::init
     0.03%  java             libjvm.so           [.] CodeHeap::find_blob_unsafe
     0.03%  G1 Refine#0      libjvm.so           [.] G1RemSet::refine_card_concurrently
     0.03%  java             [unknown]           [k] 0xffffffffc1422d25
     0.03%  java             libjvm.so           [.] ClassFileParser::parse_constant_pool_entries
     0.03%  G1 Conc#1        libjvm.so           [.] G1CollectedHeap::block_start
     0.03%  C2 CompilerThre  libjvm.so           [.] Matcher::xform
     0.03%  G1 Service       [unknown]           [k] 0xffffffffafb263e8
     0.03%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::build_ifg_physical
     0.03%  G1 Refine#5      libjvm.so           [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.03%  GC Thread#3      libjvm.so           [.] CompiledMethod::cleanup_inline_caches_impl
     0.03%  java             [JIT] tid 673471    [.] java.util.Locale java.util.Locale.getDefault(java.util.Locale$Category)
     0.03%  VM Periodic Tas  libc-2.31.so        [.] _int_free
     0.03%  VM Periodic Tas  [unknown]           [k] 0xffffffffaf84d389
     0.03%  java             [JIT] tid 673471    [.] I2C/C2I adapters
     0.03%  java             ld-2.31.so          [.] __tls_get_addr
     0.03%  java             [unknown]           [k] 0xffffffffb058c2fb
     0.03%  G1 Refine#3      libjvm.so           [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.03%  GC Thread#5      libjvm.so           [.] G1ParCopyClosure<(G1Barrier)1, true>::do_oop
     0.03%  java             [unknown]           [k] 0xffffffffb058c2c0
     0.03%  C2 CompilerThre  libjvm.so           [.] Compile::remove_useless_nodes
     0.03%  VM Thread        libjvm.so           [.] G1RegionMarkStatsCache::evict_all
     0.03%  G1 Refine#1      libjvm.so           [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.03%  G1 Conc#0        libjvm.so           [.] oopDesc::size_given_klass
     0.03%  GC Thread#4      libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.03%  GC Thread#3      libjvm.so           [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.03%  java             libjvm.so           [.] ObjArrayAllocator::initialize
     0.03%  G1 Conc#0        libjvm.so           [.] OopOopIterateDispatch<G1RootRegionScanClosure>::Table::oop_oop_iterate<ObjArrayKlass, oopDesc*>
     0.03%  java             libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.03%  java             libjvm.so           [.] G1SATBMarkQueueSet::filter
     0.03%  GC Thread#6      libjvm.so           [.] G1ParCopyClosure<(G1Barrier)1, true>::do_oop
     0.03%  java             [JIT] tid 673471    [.] java.lang.Integer application.transplant.pimtree.PIMExecutorComputationContext.lambda$p_get$0(int, application.transplant.pimtree.ht_slot, java.lang.Long)
     0.03%  java             [JIT] tid 673471    [.] I2C/C2I adapters
     0.03%  G1 Service       [unknown]           [k] 0xffffffffafb263ef
     0.03%  C2 CompilerThre  libjvm.so           [.] ciMethodData::load_data
     0.03%  GC Thread#3      libjvm.so           [.] CodeHeap::next_block
     0.03%  GC Thread#6      libjvm.so           [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, oopDesc*>
     0.03%  GC Thread#5      libjvm.so           [.] CodeHeap::next_used
     0.03%  java             [JIT] tid 673471    [.] java.lang.Object application.transplant.pimtree.PIMExecutorComputationContext$$Lambda$76/0x0000000800c1a3c0.apply(java.lang.Object, java.lang.Object)
     0.03%  C2 CompilerThre  libjvm.so           [.] PhaseConservativeCoalesce::coalesce
     0.03%  GC Thread#2      libjvm.so           [.] CompiledMethod::cleanup_inline_caches_impl
     0.03%  C2 CompilerThre  libjvm.so           [.] NodeHash::hash_find_insert
     0.03%  C2 CompilerThre  libpthread-2.31.so  [.] __pthread_mutex_unlock
     0.03%  java             [JIT] tid 673471    [.] int java.util.TimSort.countRunAndMakeAscending(java.lang.Object[], int, int, java.util.Comparator)
     0.03%  C2 CompilerThre  libjvm.so           [.] PhaseOutput::shorten_branches
     0.03%  C2 CompilerThre  libc-2.31.so        [.] _int_free
     0.03%  C1 CompilerThre  libjvm.so           [.] Dictionary::find
     0.03%  GC Thread#3      libjvm.so           [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, oopDesc*>
     0.03%  C2 CompilerThre  libjvm.so           [.] InstanceKlass::find_local_field
     0.03%  G1 Refine#4      libjvm.so           [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.03%  java             [JIT] tid 673471    [.] int java.util.Spliterators$ArraySpliterator.characteristics()
     0.03%  C2 CompilerThre  [unknown]           [k] 0xffffffffafdcce4b
     0.03%  java             [JIT] tid 673471    [.] boolean java.util.RegularEnumSet.contains(java.lang.Object)
     0.03%  C1 CompilerThre  libjvm.so           [.] ciObjectFactory::get_metadata
     0.03%  java             [JIT] tid 673471    [.] void application.transplant.pimtree.pim_skip_list.get_load(java.util.List)
     0.03%  java             [JIT] tid 673471    [.] void framework.pim.logger.Logger.logStatic(int, java.lang.String, java.lang.String)
     0.02%  java             [JIT] tid 673471    [.] java.util.stream.TerminalOp java.util.stream.ReduceOps.makeRef(java.util.stream.Collector)
     0.02%  java             [unknown]           [k] 0xffffffffafaacc12
     0.02%  C2 CompilerThre  libjvm.so           [.] DependencyContext::add_dependent_nmethod
     0.02%  java             libjvm.so           [.] SymbolTable::lookup_only
     0.02%  java             [JIT] tid 673471    [.] int java.util.stream.ReduceOps$3.getOpFlags()
     0.02%  G1 Refine#2      libjvm.so           [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.02%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::is_uncommon
