# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 39K of event 'cpu_core/LLC-load-misses/'
# Event count (approx.): 71595221
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                                                       
# ........  ...............  ..................  .............................................................................................................................................................................................................................
#
     0.09%  G1 Conc#2        libjvm.so           [.] OopOopIterateBoundedDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.09%  G1 Conc#3        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<ObjArrayKlass, oopDesc*>
     0.08%  C2 CompilerThre  libjvm.so           [.] IndexSet::initialize
     0.08%  C2 CompilerThre  libjvm.so           [.] NodeHash::hash_find_insert
     0.08%  java             [JIT] tid 682727    [.] vtable chunks
     0.08%  C2 CompilerThre  libjvm.so           [.] ciObjectFactory::get_metadata
     0.08%  C1 CompilerThre  libjvm.so           [.] InstanceKlass::find_method_index
     0.08%  java             [unknown]           [k] 0xffffffff86e96678
     0.08%  C2 CompilerThre  libjvm.so           [.] Compile::remove_useless_nodes
     0.08%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::de_ssa
     0.07%  C1 CompilerThre  libjvm.so           [.] LinearScan::eliminate_spill_moves
     0.07%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::build_loop_tree
     0.07%  C1 CompilerThre  libjvm.so           [.] BitMap::set_difference
     0.07%  C2 CompilerThre  libjvm.so           [.] RegMask::clear_to_sets
     0.07%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::build_loop_early
     0.07%  java             [JIT] tid 682727    [.] framework.pim.dpu.cache.DPUMethodLookupTableItem simulator.DPULookupTableManagerSimulator.getMethodLookupTableItem(java.lang.String, java.lang.String)
     0.07%  C2 CompilerThre  libjvm.so           [.] RegMask::Size
     0.07%  G1 Conc#1        libjvm.so           [.] OopOopIterateDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.07%  G1 Conc#0        libjvm.so           [.] OopOopIterateDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.06%  G1 Conc#2        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceMirrorKlass, oopDesc*>
     0.06%  C2 CompilerThre  libjvm.so           [.] PhaseLive::add_liveout
     0.06%  C1 CompilerThre  libjvm.so           [.] ciMethodData::load_data
     0.06%  C2 CompilerThre  libjvm.so           [.] Matcher::xform
     0.06%  C2 CompilerThre  libjvm.so           [.] Symbol::decrement_refcount
     0.06%  C2 CompilerThre  libjvm.so           [.] PhaseConservativeCoalesce::coalesce
     0.06%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::schedule_pinned_nodes
     0.06%  java             libjvm.so           [.] CodeHeap::find_blob_unsafe
     0.06%  GC Thread#3      libjvm.so           [.] CodeHeap::find_blob_unsafe
     0.06%  C2 CompilerThre  libjvm.so           [.] OopFlow::compute_reach
     0.06%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::split_if_with_blocks
     0.05%  C2 CompilerThre  libjvm.so           [.] Node::is_block_proj
     0.05%  C2 CompilerThre  libjvm.so           [.] MachNode::rematerialize
     0.05%  C2 CompilerThre  libjvm.so           [.] Dict::Insert
     0.05%  C2 CompilerThre  libjvm.so           [.] MachSpillCopyNode::ideal_reg
     0.05%  java             [JIT] tid 682727    [.] java.io.ObjectInput sun.rmi.transport.StreamRemoteCall.getInputStream()
     0.05%  C2 CompilerThre  libjvm.so           [.] PhaseIterGVN::transform_old
