 C2 CompilerThre 15501  3162.837627:        562                                                               LLC-loads:      7f1fdc9827ca CodeHeap::search_freelist+0x7a (/home/upmem0054/hwanhong/jdk-17.0.1/lib/server/libjvm.so)
            java 15471  3166.706525:        306                                                         LLC-load-misses:      7f1fc537c933 int pim.algorithm.TreeNode.search(int)+0x73 (/tmp/perf-15470.map)
            java 15471  3166.706574:        306                                                         LLC-load-misses:      7f1fc537c90a int pim.algorithm.TreeNode.search(int)+0x4a (/tmp/perf-15470.map)
            java 15471  3166.706671:        309                                                         LLC-load-misses:      7f1fc537c90e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-15470.map)
            java 15471  3166.706775:        312                                                         LLC-load-misses:      7f1fc537c96d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-15470.map)
            java 15471  3166.706827:        311                                                         LLC-load-misses:      7f1fc537c91c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-15470.map)
            java 15471  3166.706875:        311                                                         LLC-load-misses:      7f1fc537c9bc int pim.algorithm.TreeNode.search(int)+0xfc (/tmp/perf-15470.map)
            java 15471  3166.706927:        314                                                         LLC-load-misses:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.706979:        314                                                         LLC-load-misses:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.707030:        314                                                         LLC-load-misses:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.707082:        314                                                         LLC-load-misses:      7f1fc537c993 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-15470.map)
            java 15471  3166.707133:        314                                                         LLC-load-misses:      7f1fc537c90e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-15470.map)
            java 15471  3166.707187:        314                                                         LLC-load-misses:      7f1fc537c933 int pim.algorithm.TreeNode.search(int)+0x73 (/tmp/perf-15470.map)
            java 15471  3166.707241:        313                                                         LLC-load-misses:      7f1fc537c91c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-15470.map)
            java 15471  3166.707293:        312                                                         LLC-load-misses:      7f1fc537c91c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-15470.map)
            java 15471  3166.707348:        312                                                         LLC-load-misses:      7f1fc537c933 int pim.algorithm.TreeNode.search(int)+0x73 (/tmp/perf-15470.map)
            java 15471  3166.707399:        310                                                         LLC-load-misses:      7f1fc537c969 int pim.algorithm.TreeNode.search(int)+0xa9 (/tmp/perf-15470.map)
            java 15471  3166.707461:        310                                                         LLC-load-misses:      7f1fc537c91c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-15470.map)
            java 15471  3166.707463:        574                                                               LLC-loads:      7f1fc537c91c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-15470.map)
            java 15471  3166.707513:        574                                                               LLC-loads:      7f1fc537c90e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-15470.map)
            java 15471  3166.707520:        304                                                         LLC-load-misses:      7f1fc537c90a int pim.algorithm.TreeNode.search(int)+0x4a (/tmp/perf-15470.map)
            java 15471  3166.707531:       3414                                                              mem-stores:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.707562:        575                                                               LLC-loads:      7f1fc537c90e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-15470.map)
            java 15471  3166.707614:        578                                                               LLC-loads:      7f1fc537c96d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-15470.map)
            java 15471  3166.707618:       3547                                                              mem-stores:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.707632:        299                                                         LLC-load-misses:      7f1fc537c8e0 int pim.algorithm.TreeNode.search(int)+0x20 (/tmp/perf-15470.map)
            java 15471  3166.707666:       3619                                                              mem-stores:      7f1fc537c993 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-15470.map)
            java 15471  3166.707668:        578                                                               LLC-loads:      7f1fc537c90e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-15470.map)
            java 15471  3166.707684:        295                                                         LLC-load-misses:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.707714:       3648                                                              mem-stores:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.707718:        575                                                               LLC-loads:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.707736:        295                                                         LLC-load-misses:      7f1fc537c952 int pim.algorithm.TreeNode.search(int)+0x92 (/tmp/perf-15470.map)
            java 15471  3166.707764:       3670                                                              mem-stores:      7f1fc537c94d int pim.algorithm.TreeNode.search(int)+0x8d (/tmp/perf-15470.map)
            java 15471  3166.707773:        575                                                               LLC-loads:      7f1fc537c91c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-15470.map)
            java 15471  3166.707788:        295                                                         LLC-load-misses:      7f1fc537c98e int pim.algorithm.TreeNode.search(int)+0xce (/tmp/perf-15470.map)
            java 15471  3166.707823:        570                                                               LLC-loads:      7f1fc537c9c1 int pim.algorithm.TreeNode.search(int)+0x101 (/tmp/perf-15470.map)
            java 15471  3166.707839:        295                                                         LLC-load-misses:      7f1fc537c97b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15470.map)
            java 15471  3166.707855:       3730                                                              mem-stores:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
