 C2 CompilerThre 20433  4082.983060:       6558                                                              mem-stores:      7f1f1a16e7ca CodeHeap::search_freelist+0x7a (/home/upmem0054/hwanhong/jdk-17.0.1/lib/server/libjvm.so)
            java 20419  4084.021102:       3713                                                              mem-stores:      7f1f05406cc7 int pim.algorithm.TreeNode.search(int)+0x27 (/tmp/perf-20418.map)
            java 20419  4084.099427:       3690                                                              mem-stores:      7f1efe0cc352 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x32 (/tmp/perf-20418.map)
            java 20419  4084.201745:       4200                                                        L1-dcache-stores:      7f1efe0cc5b0 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x290 (/tmp/perf-20418.map)
            java 20419  4084.265073:       3863                                                        L1-dcache-stores:      7f1efe0cc5dc int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x2bc (/tmp/perf-20418.map)
            java 20419  4084.395662:         42                                                        LLC-store-misses:      7f1f05406e5c int pim.algorithm.TreeNode.search(int)+0x1bc (/tmp/perf-20418.map)
            java 20419  4084.425963:         41                                                        LLC-store-misses:      7f1f05406e66 int pim.algorithm.TreeNode.search(int)+0x1c6 (/tmp/perf-20418.map)
            java 20419  4084.514654:         27                                                        LLC-store-misses:      7f1f05406e67 int pim.algorithm.TreeNode.search(int)+0x1c7 (/tmp/perf-20418.map)
            java 20419  4086.283018:       2530                                                              mem-stores:      7f1efe0cc7e2 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x4c2 (/tmp/perf-20418.map)
            java 20419  4086.355776:         49                                                        LLC-store-misses:      7f1f05406e67 int pim.algorithm.TreeNode.search(int)+0x1c7 (/tmp/perf-20418.map)
            java 20419  4086.461016:       2551                                                              mem-stores:      7f1f05406dd1 int pim.algorithm.TreeNode.search(int)+0x131 (/tmp/perf-20418.map)
            java 20419  4086.461018:       3159                                                        L1-dcache-stores:      7f1f05406dd1 int pim.algorithm.TreeNode.search(int)+0x131 (/tmp/perf-20418.map)
            java 20419  4086.492192:       2571                                                        L1-dcache-stores:      7f1f05406e18 int pim.algorithm.TreeNode.search(int)+0x178 (/tmp/perf-20418.map)
            java 20419  4086.492198:       2597                                                              mem-stores:      7f1f05406e18 int pim.algorithm.TreeNode.search(int)+0x178 (/tmp/perf-20418.map)
            java 20419  4086.540830:         28                                                        LLC-store-misses:      7f1f0540a6cc int pim.algorithm.TreeNode.search(int)+0x3a2c (/tmp/perf-20418.map)
            java 20419  4086.591856:       2580                                                        L1-dcache-stores:      7f1efe0cc586 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x266 (/tmp/perf-20418.map)
            java 20419  4086.630682:         32                                                        LLC-store-misses:      7f1f05407427 int pim.algorithm.TreeNode.search(int)+0x787 (/tmp/perf-20418.map)
            java 20419  4086.630692:       2873                                                        L1-dcache-stores:      7f1f0540a69b int pim.algorithm.TreeNode.search(int)+0x39fb (/tmp/perf-20418.map)
            java 20419  4086.630693:         29                                                        LLC-store-misses:      7f1f0540a69b int pim.algorithm.TreeNode.search(int)+0x39fb (/tmp/perf-20418.map)
            java 20419  4086.668729:         25                                                        LLC-store-misses:      7f1f0540a259 int pim.algorithm.TreeNode.search(int)+0x35b9 (/tmp/perf-20418.map)
            java 20419  4086.938316:       2686                                                              mem-stores:      7f1f0540708e int pim.algorithm.TreeNode.search(int)+0x3ee (/tmp/perf-20418.map)
            java 20419  4087.124074:         28                                                        LLC-store-misses:      7f1f0540878a int pim.algorithm.TreeNode.search(int)+0x1aea (/tmp/perf-20418.map)
            java 20419  4088.115134:         35                                                        LLC-store-misses:      7f1f05408191 int pim.algorithm.TreeNode.search(int)+0x14f1 (/tmp/perf-20418.map)
            java 20419  4088.115141:       2811                                                        L1-dcache-stores:      7f1f0540a203 int pim.algorithm.TreeNode.search(int)+0x3563 (/tmp/perf-20418.map)
            java 20419  4088.115145:       2568                                                              mem-stores:      7f1f0540a203 int pim.algorithm.TreeNode.search(int)+0x3563 (/tmp/perf-20418.map)
            java 20419  4088.154576:         30                                                        LLC-store-misses:      7f1efe0cc80b int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x4eb (/tmp/perf-20418.map)
            java 20419  4088.846859:        125                                                               LLC-loads:      7f1f05406df8 int pim.algorithm.TreeNode.search(int)+0x158 (/tmp/perf-20418.map)
            java 20419  4088.970369:       2590                                                              mem-stores:      7f1efe0cc3b9 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x99 (/tmp/perf-20418.map)
            java 20419  4090.010285:       2943                                                        L1-dcache-stores:      7f1f05406d49 int pim.algorithm.TreeNode.search(int)+0xa9 (/tmp/perf-20418.map)
            java 20419  4090.561387:       2506                                                              mem-stores:      7f1f05407313 int pim.algorithm.TreeNode.search(int)+0x673 (/tmp/perf-20418.map)
            java 20419  4090.661649:       2669                                                        L1-dcache-stores:      7f1f05406e18 int pim.algorithm.TreeNode.search(int)+0x178 (/tmp/perf-20418.map)
            java 20419  4090.756259:         34                                                        LLC-store-misses:      7f1f05407fd4 int pim.algorithm.TreeNode.search(int)+0x1334 (/tmp/perf-20418.map)
            java 20419  4091.708431:         40                                                               LLC-loads:      7f1f05406d86 int pim.algorithm.TreeNode.search(int)+0xe6 (/tmp/perf-20418.map)
            java 20419  4091.752471:       2555                                                              mem-stores:      7f1efe0cc5c0 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x2a0 (/tmp/perf-20418.map)
            java 20419  4091.828798:       1893                                                        L1-dcache-stores:      7f1f05406d4e int pim.algorithm.TreeNode.search(int)+0xae (/tmp/perf-20418.map)
            java 20419  4091.852277:       2435                                                        L1-dcache-stores:      7f1efe0cc5c3 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x2a3 (/tmp/perf-20418.map)
 C2 CompilerThre 20433  4092.240809:       4862                                                              mem-stores:      7f1f1a1a82a3 IfNode::search_identical+0x53 (/home/upmem0054/hwanhong/jdk-17.0.1/lib/server/libjvm.so)
 C2 CompilerThre 20433  4092.718273:      14785                                                              mem-stores:      7f1f1a1a828e IfNode::search_identical+0x3e (/home/upmem0054/hwanhong/jdk-17.0.1/lib/server/libjvm.so)
            java 20419  4093.116703:       3249                                                              mem-stores:      7f1efe0cc64d int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x32d (/tmp/perf-20418.map)
            java 20419  4093.169105:       2554                                                              mem-stores:      7f1efe0cc546 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x226 (/tmp/perf-20418.map)
            java 20419  4093.344891:         26                                                        LLC-store-misses:      7f1f05406e5c int pim.algorithm.TreeNode.search(int)+0x1bc (/tmp/perf-20418.map)
            java 20419  4093.411014:         28                                                        LLC-store-misses:      7f1f0540824a int pim.algorithm.TreeNode.search(int)+0x15aa (/tmp/perf-20418.map)
            java 20419  4093.432425:         27                                                        LLC-store-misses:      7f1f05406db8 int pim.algorithm.TreeNode.search(int)+0x118 (/tmp/perf-20418.map)
 C2 CompilerThre 20433  4093.467913:       9733                                                              mem-stores:      7f1f1a1a829c IfNode::search_identical+0x4c (/home/upmem0054/hwanhong/jdk-17.0.1/lib/server/libjvm.so)
            java 20419  4093.491747:         26                                                        LLC-store-misses:      7f1f05406e5c int pim.algorithm.TreeNode.search(int)+0x1bc (/tmp/perf-20418.map)
            java 20419  4093.521722:         23                                                        LLC-store-misses:      7f1f0540a7f6 int pim.algorithm.TreeNode.search(int)+0x3b56 (/tmp/perf-20418.map)
 C2 CompilerThre 20433  4093.932492:        189                                                               LLC-loads:      7f1f1a1a8346 IfNode::search_identical+0xf6 (/home/upmem0054/hwanhong/jdk-17.0.1/lib/server/libjvm.so)
            java 20419  4094.938152:       3603                                                              mem-stores:      7f1f05431d6e int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x162e (/tmp/perf-20418.map)
            java 20419  4094.948480:       3356                                                              mem-stores:      7f1f05431808 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x10c8 (/tmp/perf-20418.map)
            java 20419  4094.987524:       4368                                                              mem-stores:      7f1f05432973 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x2233 (/tmp/perf-20418.map)
            java 20419  4094.990608:       3489                                                        L1-dcache-stores:      7f1f05431803 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x10c3 (/tmp/perf-20418.map)
            java 20419  4094.990737:         62                                                        LLC-store-misses:      7f1f05432e6e int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x272e (/tmp/perf-20418.map)
            java 20419  4094.994216:       3496                                                              mem-stores:      7f1f05431333 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0xbf3 (/tmp/perf-20418.map)
            java 20419  4095.005521:         35                                                        LLC-store-misses:      7f1f054322c7 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x1b87 (/tmp/perf-20418.map)
            java 20419  4095.014527:         54                                                        LLC-store-misses:      7f1f054322a7 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x1b67 (/tmp/perf-20418.map)
            java 20419  4095.045255:         44                                                        LLC-store-misses:      7f1f05431d4a int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x160a (/tmp/perf-20418.map)
            java 20419  4095.051432:       3352                                                              mem-stores:      7f1f05431676 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0xf36 (/tmp/perf-20418.map)
            java 20419  4095.095844:       3886                                                        L1-dcache-stores:      7f1f05432591 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x1e51 (/tmp/perf-20418.map)
            java 20419  4095.107517:       3886                                                        L1-dcache-stores:      7f1f054314fc int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0xdbc (/tmp/perf-20418.map)
            java 20419  4095.110681:         56                                                        LLC-store-misses:      7f1f05433649 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x2f09 (/tmp/perf-20418.map)
            java 20419  4095.119825:       3621                                                        L1-dcache-stores:      7f1f05406e18 int pim.algorithm.TreeNode.search(int)+0x178 (/tmp/perf-20418.map)
            java 20419  4095.126969:       3538                                                        L1-dcache-stores:      7f1f0543239b int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x1c5b (/tmp/perf-20418.map)
            java 20419  4095.148514:       3949                                                              mem-stores:      7f1f054334ef int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x2daf (/tmp/perf-20418.map)
            java 20419  4095.152162:       3430                                                        L1-dcache-stores:      7f1f05431f8c int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x184c (/tmp/perf-20418.map)
            java 20419  4095.167067:       3648                                                              mem-stores:      7f1f05406df3 int pim.algorithm.TreeNode.search(int)+0x153 (/tmp/perf-20418.map)
            java 20419  4095.167070:         36                                                        LLC-store-misses:      7f1f0543144b int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0xd0b (/tmp/perf-20418.map)
            java 20419  4095.167072:       3752                                                        L1-dcache-stores:      7f1f0543144b int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0xd0b (/tmp/perf-20418.map)
            java 20419  4095.182366:         40                                                        LLC-store-misses:      7f1f05430c85 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x545 (/tmp/perf-20418.map)
            java 20419  4095.185381:         35                                                        LLC-store-misses:      7f1f05430c53 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x513 (/tmp/perf-20418.map)
            java 20419  4095.185383:       3719                                                        L1-dcache-stores:      7f1f05430c53 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x513 (/tmp/perf-20418.map)
            java 20419  4095.212742:       4072                                                        L1-dcache-stores:      7f1f054338da int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x319a (/tmp/perf-20418.map)
            java 20419  4095.225344:         32                                                        LLC-store-misses:      7f1f05431b37 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x13f7 (/tmp/perf-20418.map)
            java 20419  4095.236099:       3298                                                              mem-stores:      7f1f054308bd int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x17d (/tmp/perf-20418.map)
            java 20419  4095.243419:       3272                                                              mem-stores:      7f1f05406e57 int pim.algorithm.TreeNode.search(int)+0x1b7 (/tmp/perf-20418.map)
            java 20419  4095.243424:       3097                                                        L1-dcache-stores:      7f1f054338d0 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x3190 (/tmp/perf-20418.map)
            java 20419  4095.243594:       4274                                                              mem-stores:      7f1f05432f35 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x27f5 (/tmp/perf-20418.map)
            java 20419  4095.243594:         49                                                        LLC-store-misses:      7f1f05432f35 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x27f5 (/tmp/perf-20418.map)
            java 20419  4095.250373:         39                                                        LLC-store-misses:      7f1f0543234f int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x1c0f (/tmp/perf-20418.map)
            java 20419  4095.256787:         28                                                        LLC-store-misses:      7f1f05433409 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x2cc9 (/tmp/perf-20418.map)
            java 20419  4095.259907:         27                                                        LLC-store-misses:      7f1f0540ad00 int pim.algorithm.TreeNode.search(int)+0x4060 (/tmp/perf-20418.map)
            java 20419  4095.260096:         47                                                        LLC-store-misses:      7f1f054331e7 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x2aa7 (/tmp/perf-20418.map)
            java 20419  4095.313957:         25                                                        LLC-store-misses:      7f1f054312a0 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0xb60 (/tmp/perf-20418.map)
            java 20419  4095.317783:         59                                                        LLC-store-misses:      7f1f054330a9 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x2969 (/tmp/perf-20418.map)
            java 20419  4095.321040:         55                                                        LLC-store-misses:      7f1f054336a0 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x2f60 (/tmp/perf-20418.map)
            java 20419  4095.321077:       3327                                                        L1-dcache-stores:      7f1f054323f4 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x1cb4 (/tmp/perf-20418.map)
            java 20419  4095.321188:       3550                                                        L1-dcache-stores:      7f1f054331e7 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x2aa7 (/tmp/perf-20418.map)
