            java 13986  3026.073804:      12255                                                              mem-stores:      7f7efdf79243 int pim.algorithm.TreeNode.search(int)+0x443 (/tmp/perf-13985.map)
            java 13986  3026.073843:      11456                                                        L1-dcache-stores:      7f7efdf793d4 int pim.algorithm.TreeNode.search(int)+0x5d4 (/tmp/perf-13985.map)
            java 13986  3026.073855:        421                                                               LLC-loads:      7f7efdf78ff2 int pim.algorithm.TreeNode.search(int)+0x1f2 (/tmp/perf-13985.map)
            java 13986  3026.073863:      11987                                                              mem-stores:      7f7efdf78ef0 int pim.algorithm.TreeNode.search(int)+0xf0 (/tmp/perf-13985.map)
            java 13986  3026.073905:        420                                                               LLC-loads:      7f7efdf79332 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-13985.map)
            java 13986  3026.073918:      11729                                                              mem-stores:      7f7efdf78f1d int pim.algorithm.TreeNode.search(int)+0x11d (/tmp/perf-13985.map)
            java 13986  3026.073950:      11212                                                        L1-dcache-stores:      7f7efdf79412 int pim.algorithm.TreeNode.search(int)+0x612 (/tmp/perf-13985.map)
            java 13986  3026.073955:        420                                                               LLC-loads:      7f7efdf78e5a int pim.algorithm.TreeNode.search(int)+0x5a (/tmp/perf-13985.map)
            java 13986  3026.073973:      11558                                                              mem-stores:      7f7efdf78fea int pim.algorithm.TreeNode.search(int)+0x1ea (/tmp/perf-13985.map)
            java 13986  3026.074001:      11063                                                        L1-dcache-stores:      7f7efdf7924b int pim.algorithm.TreeNode.search(int)+0x44b (/tmp/perf-13985.map)
            java 13986  3026.074005:        420                                                               LLC-loads:      7f7efdf79490 int pim.algorithm.TreeNode.search(int)+0x690 (/tmp/perf-13985.map)
            java 13986  3026.074026:      11385                                                              mem-stores:      7f7efdf78fee int pim.algorithm.TreeNode.search(int)+0x1ee (/tmp/perf-13985.map)
            java 13986  3026.074052:      11001                                                        L1-dcache-stores:      7f7efdf78ef0 int pim.algorithm.TreeNode.search(int)+0xf0 (/tmp/perf-13985.map)
