            java  3905 17107.441405:        517                                                               LLC-loads:      7f0e3938d552 int pim.algorithm.TreeNode.search(int)+0x92 (/tmp/perf-3904.map)
            java  3905 17107.441448:        330                                                         LLC-load-misses:      7f0e3938d4f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-3904.map)
            java  3905 17107.441461:        520                                                               LLC-loads:      7f0e3938d5e0 int pim.algorithm.TreeNode.search(int)+0x120 (/tmp/perf-3904.map)
            java  3905 17107.441506:        333                                                         LLC-load-misses:      7f0e3938d50e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-3904.map)
            java  3905 17107.441518:        516                                                               LLC-loads:      7f0e3938d52e int pim.algorithm.TreeNode.search(int)+0x6e (/tmp/perf-3904.map)
            java  3905 17107.441557:        330                                                         LLC-load-misses:      7f0e3938d57b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-3904.map)
            java  3905 17107.441575:        510                                                               LLC-loads:      7f0e3938d57b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-3904.map)
            java  3905 17107.441612:        330                                                         LLC-load-misses:      7f0e3938d51c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-3904.map)
            java  3905 17107.441629:        505                                                               LLC-loads:      7f0e3938d51c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-3904.map)
            java  3905 17107.441664:        328                                                         LLC-load-misses:      7f0e3938d51c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-3904.map)
            java  3905 17107.441681:        503                                                               LLC-loads:      7f0e3938d5ab int pim.algorithm.TreeNode.search(int)+0xeb (/tmp/perf-3904.map)
            java  3905 17107.441717:        328                                                         LLC-load-misses:      7f0e3938d51c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-3904.map)
            java  3905 17107.441735:        503                                                               LLC-loads:      7f0e3938d593 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-3904.map)
            java  3905 17107.441767:        328                                                         LLC-load-misses:      7f0e3938d51c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-3904.map)
            java  3905 17107.441792:        502                                                               LLC-loads:      7f0e3938d593 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-3904.map)
            java  3905 17107.441818:        329                                                         LLC-load-misses:      7f0e3938d4e7 int pim.algorithm.TreeNode.search(int)+0x27 (/tmp/perf-3904.map)
            java  3905 17107.441849:        496                                                               LLC-loads:      7f0e3938d4f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-3904.map)
            java  3905 17107.441875:        330                                                         LLC-load-misses:      7f0e3938d57b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-3904.map)
            java  3905 17107.441903:        491                                                               LLC-loads:      7f0e3938d552 int pim.algorithm.TreeNode.search(int)+0x92 (/tmp/perf-3904.map)
            java  3905 17107.441929:        327                                                         LLC-load-misses:      7f0e3938d533 int pim.algorithm.TreeNode.search(int)+0x73 (/tmp/perf-3904.map)
            java  3905 17107.441958:        489                                                               LLC-loads:      7f0e3938d4f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-3904.map)
            java  3905 17107.441979:        326                                                         LLC-load-misses:      7f0e3938d533 int pim.algorithm.TreeNode.search(int)+0x73 (/tmp/perf-3904.map)
            java  3905 17107.442007:        486                                                               LLC-loads:      7f0e3938d58e int pim.algorithm.TreeNode.search(int)+0xce (/tmp/perf-3904.map)
            java  3905 17107.442028:        328                                                         LLC-load-misses:      7f0e3938d4f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-3904.map)
            java  3905 17107.442061:        489                                                               LLC-loads:      7f0e3938d50e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-3904.map)
            java  3905 17107.442084:        330                                                         LLC-load-misses:      7f0e3938d51c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-3904.map)
            java  3905 17107.442118:        487                                                               LLC-loads:      7f0e3938d51c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-3904.map)
            java  3905 17107.442136:        328                                                         LLC-load-misses:      7f0e3938d4f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-3904.map)
            java  3905 17107.442173:        482                                                               LLC-loads:      7f0e3938d51c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-3904.map)
            java  3905 17107.442187:        328                                                         LLC-load-misses:      7f0e3938d51c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-3904.map)
            java  3905 17107.442217:        479                                                               LLC-loads:      7f0e3938d5c1 int pim.algorithm.TreeNode.search(int)+0x101 (/tmp/perf-3904.map)
            java  3905 17107.442240:        329                                                         LLC-load-misses:      7f0e3938d552 int pim.algorithm.TreeNode.search(int)+0x92 (/tmp/perf-3904.map)
            java  3905 17107.442274:        490                                                               LLC-loads:      7f0e3938d5a6 int pim.algorithm.TreeNode.search(int)+0xe6 (/tmp/perf-3904.map)
            java  3905 17107.442295:        329                                                         LLC-load-misses:      7f0e3938d50e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-3904.map)
            java  3905 17107.442330:        485                                                               LLC-loads:      7f0e3938d51c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-3904.map)
            java  3905 17107.442346:        327                                                         LLC-load-misses:      7f0e3938d51c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-3904.map)
            java  3905 17107.442378:        481                                                               LLC-loads:      7f0e3938d51c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-3904.map)
            java  3905 17107.442394:        328                                                         LLC-load-misses:      7f0e3938d5a6 int pim.algorithm.TreeNode.search(int)+0xe6 (/tmp/perf-3904.map)
            java  3905 17107.442432:        485                                                               LLC-loads:      7f0e3938d50e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-3904.map)
