            java  4156   414.432600:        457            cache-references:      7f8745f7c559 int pim.algorithm.TreeNode.search(int)+0x159 (/tmp/perf-4155.map)
            java  4156   414.432613:        254                cache-misses:      7f8745f7c7d5 int pim.algorithm.TreeNode.search(int)+0x3d5 (/tmp/perf-4155.map)
            java  4156   414.432668:        253                cache-misses:      7f8745f7c5ea int pim.algorithm.TreeNode.search(int)+0x1ea (/tmp/perf-4155.map)
            java  4156   414.432696:     141148                      cycles:      7f8745f7ca90 int pim.algorithm.TreeNode.search(int)+0x690 (/tmp/perf-4155.map)
            java  4156   414.432704:        450            cache-references:      7f8745f7c5ea int pim.algorithm.TreeNode.search(int)+0x1ea (/tmp/perf-4155.map)
            java  4156   414.432719:        251                cache-misses:      7f8745f7c51d int pim.algorithm.TreeNode.search(int)+0x11d (/tmp/perf-4155.map)
            java  4156   414.432744:     140959                      cycles:      7f8745f7c932 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-4155.map)
            java  4156   414.432749:        450            cache-references:      7f8745f7c6e6 int pim.algorithm.TreeNode.search(int)+0x2e6 (/tmp/perf-4155.map)
            java  4156   414.432794:     141066                      cycles:      7f8745f7c932 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-4155.map)
            java  4156   414.432798:        455            cache-references:      7f8745f7c5ea int pim.algorithm.TreeNode.search(int)+0x1ea (/tmp/perf-4155.map)
            java  4156   414.432818:        251                cache-misses:      7f8745f7c5ea int pim.algorithm.TreeNode.search(int)+0x1ea (/tmp/perf-4155.map)
            java  4156   414.432842:     140881                      cycles:      7f8745f7c932 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-4155.map)
            java  4156   414.432891:     140948                      cycles:      7f8745f7c932 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-4155.map)
            java  4156   414.432909:        447            cache-references:      7f8745f7c932 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-4155.map)
            java  4156   414.432923:        251                cache-misses:      7f8745f7c932 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-4155.map)
            java  4156   414.432940:     140845                      cycles:      7f8745f7c9d9 int pim.algorithm.TreeNode.search(int)+0x5d9 (/tmp/perf-4155.map)
            java  4156   414.432960:        444            cache-references:      7f8745f7c5ea int pim.algorithm.TreeNode.search(int)+0x1ea (/tmp/perf-4155.map)
            java  4156   414.432980:        249                cache-misses:      7f8745f7c942 int pim.algorithm.TreeNode.search(int)+0x542 (/tmp/perf-4155.map)
            java  4156   414.432989:     140829                      cycles:      7f8745f7c843 int pim.algorithm.TreeNode.search(int)+0x443 (/tmp/perf-4155.map)
            java  4156   414.433011:        443            cache-references:      7f8745f7c799 int pim.algorithm.TreeNode.search(int)+0x399 (/tmp/perf-4155.map)
            java  4156   414.433031:        246                cache-misses:      7f8745f7c840 int pim.algorithm.TreeNode.search(int)+0x440 (/tmp/perf-4155.map)
            java  4156   414.433038:     140783                      cycles:      7f8745f7c843 int pim.algorithm.TreeNode.search(int)+0x443 (/tmp/perf-4155.map)
            java  4156   414.433059:        442            cache-references:      7f8745f7c9d4 int pim.algorithm.TreeNode.search(int)+0x5d4 (/tmp/perf-4155.map)
