 C2 CompilerThre 15972  3190.816354:       6719                                                              mem-stores:      7faf1246a28e IfNode::search_identical+0x3e (/home/upmem0054/hwanhong/jdk-17.0.1/lib/server/libjvm.so)
            java 15942  3194.764857:        586                                                               LLC-loads:      7faefd37e6f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15941.map)
            java 15942  3194.764901:        295                                                         LLC-load-misses:      7faefd37e6e7 int pim.algorithm.TreeNode.search(int)+0x27 (/tmp/perf-15941.map)
            java 15942  3194.764909:        587                                                               LLC-loads:      7faefd37e717 int pim.algorithm.TreeNode.search(int)+0x57 (/tmp/perf-15941.map)
            java 15942  3194.764914:       3628                                                              mem-stores:      7faefd37e769 int pim.algorithm.TreeNode.search(int)+0xa9 (/tmp/perf-15941.map)
            java 15942  3194.764955:        294                                                         LLC-load-misses:      7faefd37e793 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-15941.map)
            java 15942  3194.764961:        585                                                               LLC-loads:      7faefd37e6f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15941.map)
            java 15942  3194.764963:       3676                                                              mem-stores:      7faefd37e6f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15941.map)
            java 15942  3194.765006:        293                                                         LLC-load-misses:      7faefd37e77b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15941.map)
            java 15942  3194.765010:       3693                                                              mem-stores:      7faefd37e71c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-15941.map)
            java 15942  3194.765013:        584                                                               LLC-loads:      7faefd37e789 int pim.algorithm.TreeNode.search(int)+0xc9 (/tmp/perf-15941.map)
            java 15942  3194.765060:        293                                                         LLC-load-misses:      7faefd37e793 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-15941.map)
            java 15942  3194.765105:       3769                                                              mem-stores:      7faefd37e6f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15941.map)
            java 15942  3194.765110:        292                                                         LLC-load-misses:      7faefd37e71c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-15941.map)
            java 15942  3194.765118:        585                                                               LLC-loads:      7faefd37e71c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-15941.map)
            java 15942  3194.765150:       3790                                                              mem-stores:      7faefd37e70e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-15941.map)
            java 15942  3194.765159:        293                                                         LLC-load-misses:      7faefd37e6f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15941.map)
            java 15942  3194.765169:        581                                                               LLC-loads:      7faefd37e77b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15941.map)
            java 15942  3194.765201:       3850                                                              mem-stores:      7faefd37e71c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-15941.map)
            java 15942  3194.765212:        294                                                         LLC-load-misses:      7faefd37e752 int pim.algorithm.TreeNode.search(int)+0x92 (/tmp/perf-15941.map)
            java 15942  3194.765223:        581                                                               LLC-loads:      7faefd37e752 int pim.algorithm.TreeNode.search(int)+0x92 (/tmp/perf-15941.map)
            java 15942  3194.765251:       3853                                                              mem-stores:      7faefd37e77b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15941.map)
            java 15942  3194.765265:        294                                                         LLC-load-misses:      7faefd37e77b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15941.map)
            java 15942  3194.765278:        578                                                               LLC-loads:      7faefd37e6f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15941.map)
            java 15942  3194.765319:        293                                                         LLC-load-misses:      7faefd37e6f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15941.map)
            java 15942  3194.765322:        574                                                               LLC-loads:      7faefd37e733 int pim.algorithm.TreeNode.search(int)+0x73 (/tmp/perf-15941.map)
            java 15942  3194.765346:       3881                                                              mem-stores:      7faefd37e6f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15941.map)
            java 15942  3194.765368:        584                                                               LLC-loads:      7faefd37e6f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15941.map)
            java 15942  3194.765372:        292                                                         LLC-load-misses:      7faefd37e6f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15941.map)
            java 15942  3194.765398:       3917                                                              mem-stores:      7faefd37e71c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-15941.map)
            java 15942  3194.765416:        593                                                               LLC-loads:      7faefd37e77b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15941.map)
            java 15942  3194.765426:        291                                                         LLC-load-misses:      7faefd37e6f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15941.map)
            java 15942  3194.765466:        597                                                               LLC-loads:      7faefd37e70e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-15941.map)
            java 15942  3194.765478:        290                                                         LLC-load-misses:      7faefd37e77b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15941.map)
            java 15942  3194.765500:       3910                                                              mem-stores:      7faefd37e6f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15941.map)
            java 15942  3194.765518:        598                                                               LLC-loads:      7faefd37e7ab int pim.algorithm.TreeNode.search(int)+0xeb (/tmp/perf-15941.map)
            java 15942  3194.765527:        290                                                         LLC-load-misses:      7faefd37e7c0 int pim.algorithm.TreeNode.search(int)+0x100 (/tmp/perf-15941.map)
            java 15942  3194.765549:       3904                                                              mem-stores:      7faefd37e77b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15941.map)
            java 15942  3194.765570:        598                                                               LLC-loads:      7faefd37e77b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15941.map)
            java 15942  3194.765580:        292                                                         LLC-load-misses:      7faefd37e70e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-15941.map)
            java 15942  3194.765599:       3918                                                              mem-stores:      7faefd37e789 int pim.algorithm.TreeNode.search(int)+0xc9 (/tmp/perf-15941.map)
            java 15942  3194.765620:        598                                                               LLC-loads:      7faefd37e6f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15941.map)
            java 15942  3194.765630:        291                                                         LLC-load-misses:      7faefd37e793 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-15941.map)
            java 15942  3194.765674:        599                                                               LLC-loads:      7faefd37e7ab int pim.algorithm.TreeNode.search(int)+0xeb (/tmp/perf-15941.map)
            java 15942  3194.765684:        292                                                         LLC-load-misses:      7faefd37e77b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15941.map)
            java 15942  3194.765705:       3907                                                              mem-stores:      7faefd37e6eb int pim.algorithm.TreeNode.search(int)+0x2b (/tmp/perf-15941.map)
            java 15942  3194.765721:        596                                                               LLC-loads:      7faefd37e74d int pim.algorithm.TreeNode.search(int)+0x8d (/tmp/perf-15941.map)
            java 15942  3194.765736:        291                                                         LLC-load-misses:      7faefd37e77b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15941.map)
            java 15942  3194.765754:       3883                                                              mem-stores:      7faefd37e77b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15941.map)
            java 15942  3194.765775:        602                                                               LLC-loads:      7faefd37e70a int pim.algorithm.TreeNode.search(int)+0x4a (/tmp/perf-15941.map)
            java 15942  3194.765825:        598                                                               LLC-loads:      7faefd37e76d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-15941.map)
            java 15942  3194.765845:        289                                                         LLC-load-misses:      7faefd37e6f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15941.map)
            java 15942  3194.765853:       3919                                                              mem-stores:      7faefd37e6f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15941.map)
            java 15942  3194.765876:        600                                                               LLC-loads:      7faefd37e71c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-15941.map)
            java 15942  3194.765896:        288                                                         LLC-load-misses:      7faefd37e76d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-15941.map)
            java 15942  3194.765904:       3926                                                              mem-stores:      7faefd37e6e7 int pim.algorithm.TreeNode.search(int)+0x27 (/tmp/perf-15941.map)
            java 15942  3194.765929:        600                                                               LLC-loads:      7faefd37e70a int pim.algorithm.TreeNode.search(int)+0x4a (/tmp/perf-15941.map)
            java 15942  3194.765946:        288                                                         LLC-load-misses:      7faefd37e7c1 int pim.algorithm.TreeNode.search(int)+0x101 (/tmp/perf-15941.map)
            java 15942  3194.765952:       3922                                                              mem-stores:      7faefd37e6f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15941.map)
            java 15942  3194.765981:        597                                                               LLC-loads:      7faefd37e6f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15941.map)
            java 15942  3194.765998:        289                                                         LLC-load-misses:      7faefd37e7c0 int pim.algorithm.TreeNode.search(int)+0x100 (/tmp/perf-15941.map)
            java 15942  3194.766002:       3951                                                              mem-stores:      7faefd37e6f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15941.map)
            java 15942  3194.766033:        596                                                               LLC-loads:      7faefd37e793 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-15941.map)
