# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 112K of event 'cache-references'
# Event count (approx.): 59619590
#
# Overhead  Command          Shared Object        Symbol                                                                                                                                                    
# ........  ...............  ...................  ..........................................................................................................................................................
#
     0.02%  GC Thread#22     libjvm.so            [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.02%  GC Thread#22     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.02%  GC Thread#10     libjvm.so            [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.02%  G1 Refine#3      libjvm.so            [.] G1RemSet::clean_card_before_refine
     0.02%  G1 Refine#17     libjvm.so            [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.02%  java             perf-5443.map        [.] java.util.ArrayList pim.algorithm.BSTBuilder$BaseKeyValuePairGenerator.genPairs(int)
     0.02%  G1 Refine#3      libjvm.so            [.] G1CardCounts::add_card_count
     0.02%  GC Thread#16     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.02%  java             perf-5443.map        [.] java.util.HashMap$Node java.util.HashMap.getNode(java.lang.Object)
     0.02%  GC Thread#20     libjvm.so            [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.02%  java             [kernel.kallsyms]    [k] _raw_spin_lock_irqsave
     0.02%  java             [kernel.kallsyms]    [k] perf_mux_hrtimer_handler
     0.02%  java             [kernel.kallsyms]    [k] perf_event_task_tick
     0.02%  GC Thread#4      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ScanCardClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.02%  G1 Refine#4      [kernel.kallsyms]    [k] perf_iterate_ctx
     0.02%  G1 Refine#5      libjvm.so            [.] G1RemSet::clean_card_before_refine
     0.02%  GC Thread#16     libjvm.so            [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.02%  java             [kernel.kallsyms]    [k] run_timer_softirq
     0.02%  GC Thread#6      libjvm.so            [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.02%  G1 Refine#13     libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.02%  G1 Refine#2      libjvm.so            [.] G1BlockOffsetTablePart::alloc_block_work
     0.02%  G1 Refine#15     libjvm.so            [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.02%  GC Thread#10     [kernel.kallsyms]    [k] clear_page_erms
     0.02%  GC Thread#3      libjvm.so            [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.02%  GC Thread#7      [kernel.kallsyms]    [k] clear_page_erms
     0.02%  GC Thread#18     libjvm.so            [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.02%  GC Thread#15     [kernel.kallsyms]    [k] clear_page_erms
     0.02%  G1 Refine#22     libjvm.so            [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.02%  GC Thread#9      libjvm.so            [.] OopOopIterateDispatch<G1ScanCardClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.02%  G1 Refine#6      libjvm.so            [.] G1HotCardCache::insert
     0.02%  G1 Refine#10     libjvm.so            [.] OtherRegionsTable::add_reference
     0.02%  G1 Refine#14     [kernel.kallsyms]    [k] perf_iterate_ctx
     0.02%  G1 Refine#7      [kernel.kallsyms]    [k] perf_iterate_ctx
     0.02%  java             [kernel.kallsyms]    [k] lapic_next_deadline
     0.02%  G1 Refine#19     libjvm.so            [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.02%  java             [kernel.kallsyms]    [k] rcu_check_callbacks
     0.02%  GC Thread#6      [kernel.kallsyms]    [k] clear_page_erms
     0.02%  G1 Refine#2      libjvm.so            [.] G1CardCounts::add_card_count
     0.02%  G1 Refine#17     [kernel.kallsyms]    [k] perf_iterate_ctx
     0.02%  GC Thread#4      libjvm.so            [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.02%  GC Thread#13     libjvm.so            [.] G1ScanHRForRegionClosure::scan_heap_roots
     0.02%  java             [kernel.kallsyms]    [k] __hrtimer_run_queues
     0.02%  GC Thread#9      [kernel.kallsyms]    [k] clear_page_erms
     0.02%  java             [kernel.kallsyms]    [k] interrupt_entry
     0.02%  G1 Refine#0      libjvm.so            [.] oopDesc::size
     0.02%  G1 Refine#19     libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.02%  G1 Refine#0      libjvm.so            [.] G1BlockOffsetTablePart::alloc_block_work
     0.02%  G1 Refine#12     [kernel.kallsyms]    [k] perf_iterate_ctx
     0.02%  GC Thread#20     [kernel.kallsyms]    [k] get_page_from_freelist
     0.02%  G1 Refine#21     libjvm.so            [.] G1RemSet::refine_card_concurrently
     0.02%  G1 Refine#16     libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.02%  G1 Refine#4      libjvm.so            [.] G1RemSet::clean_card_before_refine
     0.02%  G1 Refine#16     libjvm.so            [.] OtherRegionsTable::add_reference
     0.02%  C2 CompilerThre  libjvm.so            [.] IndexSet::initialize
     0.02%  GC Thread#0      [kernel.kallsyms]    [k] get_page_from_freelist
     0.02%  GC Thread#12     [kernel.kallsyms]    [k] get_page_from_freelist
     0.02%  java             [kernel.kallsyms]    [k] trigger_load_balance
     0.02%  java             [kernel.kallsyms]    [k] cpuacct_charge
     0.02%  C2 CompilerThre  libjvm.so            [.] vmSymbols::find_sid
     0.02%  G1 Refine#11     libjvm.so            [.] OtherRegionsTable::add_reference
     0.02%  GC Thread#3      [kernel.kallsyms]    [k] get_page_from_freelist
     0.02%  G1 Refine#0      [kernel.kallsyms]    [k] perf_iterate_ctx
     0.02%  G1 Refine#7      libjvm.so            [.] G1HotCardCache::insert
     0.02%  G1 Refine#6      libjvm.so            [.] G1RemSet::clean_card_before_refine
