            java 19552 37771.019702:       1272                                                               LLC-loads:      7f2da938fd73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-19551.map)
            java 19552 37771.019950:       1285                                                               LLC-loads:      7f2da938fd98 int pim.algorithm.TreeNode.search(int)+0x58 (/tmp/perf-19551.map)
            java 19552 37771.020183:       1287                                                               LLC-loads:      7f2da938fd98 int pim.algorithm.TreeNode.search(int)+0x58 (/tmp/perf-19551.map)
            java 19552 37771.020424:       1299                                                               LLC-loads:      7f2da938fd73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-19551.map)
            java 19552 37771.020674:       1305                                                               LLC-loads:      7f2da938fd73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-19551.map)
            java 19552 37771.020918:       1305                                                               LLC-loads:      7f2da938fdb4 int pim.algorithm.TreeNode.search(int)+0x74 (/tmp/perf-19551.map)
            java 19552 37771.021154:       1309                                                               LLC-loads:      7f2da938fddb int pim.algorithm.TreeNode.search(int)+0x9b (/tmp/perf-19551.map)
            java 19552 37771.021419:       1319                                                               LLC-loads:      7f2da938fd67 int pim.algorithm.TreeNode.search(int)+0x27 (/tmp/perf-19551.map)
            java 19552 37771.021669:       1311                                                               LLC-loads:      7f2da938fdb4 int pim.algorithm.TreeNode.search(int)+0x74 (/tmp/perf-19551.map)
            java 19552 37771.021918:       1311                                                               LLC-loads:      7f2da938fd73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-19551.map)
            java 19552 37771.022159:       1312                                                               LLC-loads:      7f2da938fdea int pim.algorithm.TreeNode.search(int)+0xaa (/tmp/perf-19551.map)
            java 19552 37771.022423:       1318                                                               LLC-loads:      7f2da938fd73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-19551.map)
            java 19552 37771.022679:       1310                                                               LLC-loads:      7f2da938fdea int pim.algorithm.TreeNode.search(int)+0xaa (/tmp/perf-19551.map)
            java 19552 37771.022949:       1307                                                               LLC-loads:      7f2da938fdb4 int pim.algorithm.TreeNode.search(int)+0x74 (/tmp/perf-19551.map)
            java 19552 37771.024881:     100007                                    mem_load_l3_miss_retired.remote_dram:      7f2da938fddb int pim.algorithm.TreeNode.search(int)+0x9b (/tmp/perf-19551.map)
            java 19552 37771.035657:     100003                                            offcore_requests.all_data_rd:      7f2da938fd73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-19551.map)
