            java  9424 34853.472271:       1709                                                               LLC-loads:      7f32e938ef73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-9423.map)
            java  9424 34853.472552:       1702                                                               LLC-loads:      7f32e938efdb int pim.algorithm.TreeNode.search(int)+0x9b (/tmp/perf-9423.map)
            java  9424 34853.472831:       1680                                                               LLC-loads:      7f32e938ef60 int pim.algorithm.TreeNode.search(int)+0x20 (/tmp/perf-9423.map)
            java  9424 34853.473103:       1660                                                               LLC-loads:      7f32e938ef98 int pim.algorithm.TreeNode.search(int)+0x58 (/tmp/perf-9423.map)
            java  9424 34853.473371:       1644                                                               LLC-loads:      7f32e938efb4 int pim.algorithm.TreeNode.search(int)+0x74 (/tmp/perf-9423.map)
            java  9424 34853.473638:       1632                                                               LLC-loads:      7f32e938efdb int pim.algorithm.TreeNode.search(int)+0x9b (/tmp/perf-9423.map)
            java  9424 34853.473903:       1620                                                               LLC-loads:      7f32e938ef98 int pim.algorithm.TreeNode.search(int)+0x58 (/tmp/perf-9423.map)
            java  9424 34853.474156:       1610                                                               LLC-loads:      7f32e938efdb int pim.algorithm.TreeNode.search(int)+0x9b (/tmp/perf-9423.map)
            java  9424 34853.474422:       1609                                                               LLC-loads:      7f32e938ef67 int pim.algorithm.TreeNode.search(int)+0x27 (/tmp/perf-9423.map)
            java  9424 34853.474689:       1598                                                               LLC-loads:      7f32e938ef8e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-9423.map)
            java  9424 34853.474971:       1587                                                               LLC-loads:      7f32e938ef73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-9423.map)
            java  9424 34853.482259:     100003                                            offcore_requests.all_data_rd:      7f32e938efea int pim.algorithm.TreeNode.search(int)+0xaa (/tmp/perf-9423.map)
            java  9424 34853.490294:     100007                                    mem_load_l3_miss_retired.remote_dram:      7f32e938efb4 int pim.algorithm.TreeNode.search(int)+0x74 (/tmp/perf-9423.map)
            java  9424 34853.501534:     100003                                 offcore_requests.l3_miss_demand_data_rd:      7f32e938efea int pim.algorithm.TreeNode.search(int)+0xaa (/tmp/perf-9423.map)
