# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5M of event 'LLC-load-misses'
# Event count (approx.): 4082090216
#
# Overhead  Command          Shared Object        Symbol                                                                                                                                                                                    
# ........  ...............  ...................  ..........................................................................................................................................................................................
#
     0.01%  java             libpthread-2.28.so   [.] pthread_cond_wait@@GLIBC_2.3.2
     0.01%  java             libdpu.so.0.0        [.] dpu_thread_job_peek_unlocked
     0.01%  DPU_WORK_0200    [kernel.kallsyms]    [k] try_to_wake_up
     0.01%  C1 CompilerThre  libjvm.so            [.] LinearScan::eliminate_spill_moves
     0.01%  C2 CompilerThre  [kernel.kallsyms]    [k] copy_page
     0.01%  GC Thread#21     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.01%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::Simplify
     0.01%  GC Thread#12     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.01%  DPU_WORK_0200    [kernel.kallsyms]    [k] available_idle_cpu
     0.01%  DPU_WORK_0200    [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
     0.01%  C2 CompilerThre  ld-2.28.so           [.] __tls_get_addr
     0.01%  DPU_WORK_0300    [kernel.kallsyms]    [k] available_idle_cpu
     0.01%  DPU_WORK_0300    [kernel.kallsyms]    [k] try_to_wake_up
     0.01%  C1 CompilerThre  libjvm.so            [.] BitMap::set_union
     0.01%  DPU_WORK_0400    [kernel.kallsyms]    [k] available_idle_cpu
     0.01%  java             libjvm.so            [.] acl_CopyRight
     0.01%  C2 CompilerThre  libc-2.28.so         [.] __memmove_sse2_unaligned_erms
     0.01%  C2 CompilerThre  libjvm.so            [.] PhaseCFG::schedule_local
     0.01%  C2 CompilerThre  libjvm.so            [.] JVMState::debug_start
     0.01%  DPU_WORK_0300    [kernel.kallsyms]    [k] update_cfs_rq_h_load
     0.01%  GC Thread#7      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.01%  DPU_WORK_0100    libdpu.so.0.0        [.] do_sync_job
     0.01%  C2 CompilerThre  libjvm.so            [.] IndexSet::lrg_union
     0.01%  GC Thread#17     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.01%  DPU_WORK_0400    [kernel.kallsyms]    [k] try_to_wake_up
     0.01%  C2 CompilerThre  libjvm.so            [.] PhaseOutput::BuildOopMaps
     0.01%  DPU_WORK_0400    [kernel.kallsyms]    [k] update_cfs_rq_h_load
     0.01%  java             perf-3680.map        [.] int application.bst.TreeNode.search(int)
     0.01%  DPU_WORK_0100    libdpu.so.0.0        [.] duplicate_transfer_matrix
     0.01%  C2 CompilerThre  libjvm.so            [.] Compile::remove_useless_nodes
     0.01%  GC Thread#16     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.01%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::Dominators
     0.01%  DPU_WORK_0000    libpthread-2.28.so   [.] pthread_cond_wait@@GLIBC_2.3.2
     0.01%  DPU_POLL_0000    [kernel.kallsyms]    [k] _vm_normal_page
     0.01%  java             libpthread-2.28.so   [.] __pthread_mutex_cond_lock
     0.01%  java             [kernel.kallsyms]    [k] plist_del
     0.01%  DPU_WORK_0100    libpthread-2.28.so   [.] __pthread_mutex_unlock_usercnt
     0.01%  DPU_WORK_0100    [kernel.kallsyms]    [k] _raw_spin_lock
     0.01%  DPU_WORK_0100    [kernel.kallsyms]    [k] mark_wake_futex
     0.01%  C2 CompilerThre  libjvm.so            [.] PhaseCFG::is_uncommon
     0.01%  C1 CompilerThre  libjvm.so            [.] LinearScan::resolve_collect_mappings
     0.01%  GC Thread#20     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.01%  DPU_WORK_0200    libdpu.so.0.0        [.] do_sync_job
     0.01%  DPU_WORK_0000    libdpu.so.0.0        [.] do_sync_job
     0.01%  C2 CompilerThre  libjvm.so            [.] RegMask::is_UP
     0.01%  DPU_WORK_0100    [kernel.kallsyms]    [k] futex_wake
     0.01%  DPU_WORK_0000    [kernel.kallsyms]    [k] _raw_spin_lock
     0.01%  java             perf-3680.map        [.] java.lang.String[] java.lang.String.split(java.lang.String, int)
     0.01%  java             libdpu.so.0.0        [.] dpu_transfer_matrix_clear_dpu
     0.01%  java             libpthread-2.28.so   [.] pthread_mutex_unlock
     0.01%  C2 CompilerThre  libjvm.so            [.] CProjNode::is_block_proj
     0.01%  DPU_WORK_0000    libdpu.so.0.0        [.] duplicate_transfer_matrix
     0.01%  DPU_WORK_0000    [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
     0.01%  GC Thread#14     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.01%  GC Thread#12     libc-2.28.so         [.] __memmove_sse2_unaligned_erms
     0.01%  DPU_WORK_0100    libdpu.so.0.0        [.] dpu_thread_compute_job
     0.01%  DPU_WORK_0300    libdpu.so.0.0        [.] do_sync_job
     0.01%  C2 CompilerThre  libjvm.so            [.] MachNode::rematerialize
     0.01%  C2 CompilerThre  libjvm.so            [.] PhaseAggressiveCoalesce::insert_copies
     0.01%  GC Thread#13     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.01%  DPU_WORK_0000    libpthread-2.28.so   [.] __pthread_mutex_unlock_usercnt
     0.01%  GC Thread#15     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.01%  DPU_WORK_0000    [kernel.kallsyms]    [k] mark_wake_futex
     0.01%  DPU_WORK_0400    [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
     0.01%  GC Thread#5      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.01%  DPU_WORK_0000    [kernel.kallsyms]    [k] futex_wake
     0.01%  DPU_WORK_0200    [kernel.kallsyms]    [k] put_prev_entity
     0.01%  DPU_WORK_0200    libdpu.so.0.0        [.] duplicate_transfer_matrix
     0.01%  DPU_WORK_0000    [kernel.kallsyms]    [k] put_prev_entity
     0.01%  DPU_WORK_0200    libpthread-2.28.so   [.] __pthread_mutex_unlock_usercnt
     0.01%  C2 CompilerThre  ld-2.28.so           [.] _dl_update_slotinfo
     0.00%  C2 CompilerThre  libjvm.so            [.] RegMask::Size
     0.00%  DPU_WORK_0000    libdpu.so.0.0        [.] dpu_thread_compute_job
     0.00%  GC Thread#6      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.00%  DPU_WORK_0200    [kernel.kallsyms]    [k] _raw_spin_lock
     0.00%  DPU_WORK_0300    [kernel.kallsyms]    [k] put_prev_entity
     0.00%  DPU_WORK_0400    [kernel.kallsyms]    [k] put_prev_entity
     0.00%  GC Thread#1      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  DPU_WORK_0100    [kernel.kallsyms]    [k] put_prev_entity
     0.00%  DPU_WORK_0300    [kernel.kallsyms]    [k] _raw_spin_lock
     0.00%  java             libc-2.28.so         [.] __strcmp_avx2
     0.00%  GC Thread#10     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  C1 CompilerThre  libjvm.so            [.] LinearScan::assign_reg_num
     0.00%  DPU_WORK_0400    libdpu.so.0.0        [.] do_sync_job
     0.00%  DPU_WORK_0300    libdpu.so.0.0        [.] duplicate_transfer_matrix
     0.00%  GC Thread#2      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.00%  GC Thread#8      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.00%  DPU_WORK_0200    [kernel.kallsyms]    [k] mark_wake_futex
     0.00%  GC Thread#22     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  DPU_WORK_0200    [kernel.kallsyms]    [k] futex_wake
     0.00%  java             [kernel.kallsyms]    [k] change_protection
     0.00%  GC Thread#18     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  DPU_WORK_0300    [kernel.kallsyms]    [k] futex_wake
     0.00%  DPU_WORK_0400    [kernel.kallsyms]    [k] _raw_spin_lock
     0.00%  C1 CompilerThre  libjvm.so            [.] BitMap::set_difference
     0.00%  java             libjvm.so            [.] os::free
     0.00%  DPU_POLL_0000    [kernel.kallsyms]    [k] apic_timer_interrupt
     0.00%  java             perf-3680.map        [.] boolean java.lang.StringCoding.hasNegatives(byte[], int, int)
     0.00%  DPU_WORK_0300    [kernel.kallsyms]    [k] mark_wake_futex
     0.00%  GC Thread#22     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.00%  DPU_WORK_0300    libpthread-2.28.so   [.] __pthread_mutex_unlock_usercnt
     0.00%  C1 CompilerThre  libjvm.so            [.] LIR_OpVisitState::append
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::split_if_with_blocks
     0.00%  GC Thread#11     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  DPU_WORK_0200    libdpu.so.0.0        [.] dpu_thread_compute_job
     0.00%  C1 CompilerThre  libjvm.so            [.] LinearScan::compute_local_live_sets
     0.00%  C2 CompilerThre  libjvm.so            [.] MachSpillCopyNode::bottom_type
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::fixup_spills
     0.00%  DPU_WORK_0400    libdpu.so.0.0        [.] duplicate_transfer_matrix
     0.00%  java             [kernel.kallsyms]    [k] futex_wait_queue_me
     0.00%  java             libpthread-2.28.so   [.] __condvar_dec_grefs
     0.00%  DPU_WORK_0400    [kernel.kallsyms]    [k] mark_wake_futex
     0.00%  GC Thread#20     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  GC Thread#19     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.00%  GC Thread#9      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  GC Thread#3      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.00%  DPU_WORK_0100    libpthread-2.28.so   [.] __pthread_mutex_cond_lock
     0.00%  VM Periodic Tas  [kernel.kallsyms]    [k] copy_page
     0.00%  DPU_WORK_0400    libpthread-2.28.so   [.] __pthread_mutex_unlock_usercnt
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::raise_pressure
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseCFG::schedule_pinned_nodes
     0.00%  C2 CompilerThre  libjvm.so            [.] PhasePeephole::do_transform
     0.00%  DPU_WORK_0400    libdpu.so.0.0        [.] dpu_thread_compute_job
     0.00%  DPU_WORK_0400    [kernel.kallsyms]    [k] futex_wake
     0.00%  DPU_WORK_0300    libdpu.so.0.0        [.] dpu_thread_compute_job
     0.00%  C1 CompilerThre  libjvm.so            [.] LinearScan::resolve_exception_handlers
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseLive::add_liveout
     0.00%  C2 CompilerThre  libjvm.so            [.] MachSpillCopyNode::implementation
     0.00%  C2 CompilerThre  libjvm.so            [.] Node_Backward_Iterator::next
     0.00%  GC Thread#4      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  C2 CompilerThre  libjvm.so            [.] Node_Array::insert
     0.00%  DPU_WORK_0200    [kernel.kallsyms]    [k] __x64_sys_futex
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::elide_copy
     0.00%  DPU_WORK_0000    libpthread-2.28.so   [.] __pthread_mutex_cond_lock
     0.00%  C1 CompilerThre  libjvm.so            [.] ProfileCall::input_values_do
     0.00%  C2 CompilerThre  libpthread-2.28.so   [.] __pthread_mutex_lock
     0.00%  java             [kernel.kallsyms]    [k] page_fault
